network_index,network_name,title,description,networkDomain,subDomain,sourceUrl,number_nodes,number_edges
166.0,Norwegian_Board_of_Directors_net1mode_2004-04-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,441.0,1797.0
167.0,Norwegian_Board_of_Directors_net1mode_2004-05-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,450.0,1818.0
168.0,Norwegian_Board_of_Directors_net1mode_2004-06-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,423.0,1747.0
169.0,Norwegian_Board_of_Directors_net1mode_2004-07-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,449.0,1909.0
170.0,Norwegian_Board_of_Directors_net1mode_2004-08-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,453.0,1929.0
171.0,Norwegian_Board_of_Directors_net1mode_2004-09-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,437.0,1852.0
172.0,Norwegian_Board_of_Directors_net1mode_2004-10-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,452.0,1886.0
173.0,Norwegian_Board_of_Directors_net1mode_2004-12-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,443.0,1892.0
174.0,Norwegian_Board_of_Directors_net1mode_2005-01-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,465.0,1995.0
175.0,Norwegian_Board_of_Directors_net1mode_2005-02-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,455.0,1893.0
176.0,Norwegian_Board_of_Directors_net1mode_2005-03-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,455.0,1882.0
177.0,Norwegian_Board_of_Directors_net1mode_2005-04-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,454.0,1870.0
178.0,Norwegian_Board_of_Directors_net1mode_2005-05-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,470.0,1840.0
179.0,Norwegian_Board_of_Directors_net1mode_2005-06-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,476.0,1836.0
180.0,Norwegian_Board_of_Directors_net1mode_2005-07-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,466.0,1779.0
181.0,Norwegian_Board_of_Directors_net1mode_2005-08-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,437.0,1658.0
182.0,Norwegian_Board_of_Directors_net1mode_2005-09-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,393.0,1490.0
183.0,Norwegian_Board_of_Directors_net1mode_2005-10-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,403.0,1533.0
184.0,Norwegian_Board_of_Directors_net1mode_2005-11-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,401.0,1520.0
185.0,Norwegian_Board_of_Directors_net1mode_2005-12-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,405.0,1521.0
186.0,Norwegian_Board_of_Directors_net1mode_2006-01-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,473.0,1743.0
187.0,Norwegian_Board_of_Directors_net1mode_2006-02-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,490.0,1785.0
188.0,Norwegian_Board_of_Directors_net1mode_2006-03-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,492.0,1805.0
189.0,Norwegian_Board_of_Directors_net1mode_2006-04-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,484.0,1769.0
190.0,Norwegian_Board_of_Directors_net1mode_2006-05-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,494.0,1789.0
191.0,Norwegian_Board_of_Directors_net1mode_2006-06-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,520.0,1814.0
192.0,Norwegian_Board_of_Directors_net1mode_2006-07-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,542.0,1841.0
193.0,Norwegian_Board_of_Directors_net1mode_2006-08-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,560.0,1919.0
194.0,Norwegian_Board_of_Directors_net1mode_2006-09-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,561.0,1935.0
195.0,Norwegian_Board_of_Directors_net1mode_2006-10-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,592.0,2122.0
196.0,Norwegian_Board_of_Directors_net1mode_2006-11-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,609.0,2189.0
197.0,Norwegian_Board_of_Directors_net1mode_2006-12-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,631.0,2226.0
198.0,Norwegian_Board_of_Directors_net1mode_2007-01-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,646.0,2284.0
199.0,Norwegian_Board_of_Directors_net1mode_2007-02-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,652.0,2296.0
200.0,Norwegian_Board_of_Directors_net1mode_2007-03-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,653.0,2300.0
201.0,Norwegian_Board_of_Directors_net1mode_2007-04-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,672.0,2350.0
202.0,Norwegian_Board_of_Directors_net1mode_2007-05-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,682.0,2351.0
203.0,Norwegian_Board_of_Directors_net1mode_2007-06-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,708.0,2414.0
204.0,Norwegian_Board_of_Directors_net1mode_2007-07-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,828.0,2835.0
205.0,Norwegian_Board_of_Directors_net1mode_2007-08-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,789.0,2716.0
206.0,Norwegian_Board_of_Directors_net1mode_2007-09-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,808.0,2760.0
207.0,Norwegian_Board_of_Directors_net1mode_2007-10-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,834.0,2854.0
208.0,Norwegian_Board_of_Directors_net1mode_2007-11-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,816.0,2746.0
209.0,Norwegian_Board_of_Directors_net1mode_2007-12-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,825.0,2819.0
210.0,Norwegian_Board_of_Directors_net1mode_2008-01-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,856.0,2861.0
211.0,Norwegian_Board_of_Directors_net1mode_2008-02-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,882.0,2937.0
212.0,Norwegian_Board_of_Directors_net1mode_2008-03-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,841.0,2776.0
213.0,Norwegian_Board_of_Directors_net1mode_2008-04-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,859.0,2813.0
214.0,Norwegian_Board_of_Directors_net1mode_2008-05-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,870.0,2832.0
215.0,Norwegian_Board_of_Directors_net1mode_2008-06-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,852.0,2798.0
216.0,Norwegian_Board_of_Directors_net1mode_2008-07-01,"Norwegian Boards of Directors (2002-2011, projection)","112 networks of the affiliations among board directors due to sitting on common boards of Norwegian public limited companies (as of 5 August 2009), from May 2002 onward, in monthly snapshots through August 2011. Some metadata is included, such as director and company names, city and postal code for companies, and gender for directors. Each of these one-mode projection network filenames begin with \""net1m.\""",Social,Affiliation,http://toreopsahl.com/2010/09/30/article-for-the-few-not-the-many-the-effects-of-affirmative-action-on-presence-prominence-and-social-capital-of-women-directors-in-norway/,840.0,2700.0
